group,dataset,mde,A.Rel,d1,A.Rel_si,d1_si,A.Rel_ssi,d1_ssi
standard_benchmark,lamar,MoGeV2Calib-moge-2-vitl,18.48516269967478,76.31818586487157,10.077112892161228,90.52590794787133,13.16317820084818,86.20357672785951
standard_benchmark,lamar,Pi3-Pi3X,35.94582093630731,27.206217473237924,9.962621721172738,89.72936029652446,14.08636302571657,84.25853036523706
standard_benchmark,lamar,Pi3Calib-Pi3X,32.93595258090603,29.31647292371592,9.859329597648882,89.85389473034623,14.032101420818927,84.2568529226457
standard_benchmark,lamar,UniDepth1-cnvnxtl,35.80990711556529,48.73149786825732,14.441357552865416,84.47034579029734,15.488356613354375,83.12505721595733
standard_benchmark,lamar,UniDepth1-vitl14,42.05346026583436,31.596601210213695,13.285106045401578,86.35127878309132,15.263246620935568,83.9092949893193
standard_benchmark,lamar,UniDepth1Calib-cnvnxtl,31.085100860356135,48.96383065769004,14.47125712173348,84.47383926822069,15.572125308937002,83.18352450834612
standard_benchmark,lamar,UniDepth1Calib-vitl14,41.91936741226318,33.00892856872683,13.055741848283807,86.62605322189098,15.048686045480387,84.21366765599858
standard_benchmark,lamar,UniDepth2-vitb14,33.54109500674403,73.50109936622034,18.616867090664172,88.5402578810367,24.820421667723416,72.79290934748806
standard_benchmark,lamar,UniDepth2-vitl14,31.189170602871226,76.55191024224538,19.698915080313448,89.9224975490324,25.750684333626857,73.35629236228901
standard_benchmark,lamar,UniDepth2-vits14,42.764702245540875,56.790818526772426,19.410459420808948,84.94390738313173,24.906677893188885,72.36747346588798
standard_benchmark,lamar,UniDepth2Calib-vitb14,30.756321120079843,77.62052910553344,20.155010126509687,88.52704586491186,26.438725589079493,70.81054142277377
standard_benchmark,lamar,UniDepth2Calib-vitl14,29.041368093957654,78.26841659871451,20.13283657564341,89.92621181290001,25.87993324223756,73.32507918539646
standard_benchmark,lamar,UniDepth2Calib-vits14,34.58573189614145,69.33559072902948,20.10212372743807,84.98452883954715,25.97612147001619,71.24682697245932
standard_benchmark,lamar,UniK3D-vitl,42.58176447748616,73.16508734729766,30.195993687169967,90.09034667731463,32.294007988466284,68.26300571332663
