dataset,mde,iters,solver,pose_mAA_10,median_pose_err,median_f_err,mean_mde_runtime,mean_runtime,mean_inliers
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_shift_ro,65.541389,1.496277,0.0,46.749142,11.157134,0.772405
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib,87.829772,0.397612,0.0,46.749142,90.145975,0.8213
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_shift,87.148415,0.381584,0.0,46.749142,96.632041,0.822965
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_ro,74.969294,0.835147,0.0,46.749142,8.498252,0.782031
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_shift_ro,65.665028,1.450576,0.0,46.749142,14.25138,0.773225
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib,87.883954,0.395978,0.0,46.749142,112.673333,0.823976
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_shift,87.524597,0.370519,0.0,46.749142,113.775118,0.824805
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_ro,74.967912,0.835147,0.0,46.749142,12.046456,0.782039
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_shift_ro,65.596675,1.459932,0.0,46.749142,16.970192,0.77354
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib,82.9932,0.614825,0.0,47.485747,42.292286,0.7653
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_shift,83.041394,0.422954,0.0,47.485747,45.667602,0.783632
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_ro,74.722426,0.836526,0.0,47.485747,3.12565,0.773214
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_shift_ro,65.180308,1.602872,0.0,47.485747,7.28051,0.754877
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib,86.296948,0.512911,0.0,47.485747,68.578772,0.806414
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_shift,86.686235,0.354951,0.0,47.485747,70.930496,0.8178
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_ro,74.78882,0.840914,0.0,47.485747,5.303445,0.776627
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_shift_ro,66.310966,1.455626,0.0,47.485747,10.959389,0.772093
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib,86.919632,0.493963,0.0,47.485747,96.44889,0.819967
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_shift,87.656149,0.337,0.0,47.485747,95.769242,0.824688
sintel,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_ro,74.760711,0.843262,0.0,47.485747,8.654507,0.777563
