dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
illusion,InfiniDepth-vitl,10,sf,30.74,536.55,47.79
illusion,InfiniDepth-vitl,10,sf_ro,23.68,536.55,46.28
illusion,InfiniDepth-vitl,10,sf_shift,11.34,536.55,21.67
illusion,InfiniDepth-vitl,10,sf_shift_ro,9.82,536.55,23.38
illusion,InfiniDepth-vitl,100,calib,38.75,536.55,57.73
illusion,InfiniDepth-vitl,100,calib_ro,21.82,536.55,37.49
illusion,InfiniDepth-vitl,100,calib_shift,58.3,536.55,62.24
illusion,InfiniDepth-vitl,100,calib_shift_ro,36.05,536.55,45.87
illusion,InfiniDepth-vitl,100,sf,35.99,536.55,57.76
illusion,InfiniDepth-vitl,100,sf_ro,25.56,536.55,50.28
illusion,InfiniDepth-vitl,100,sf_shift,23.41,536.55,41.0
illusion,InfiniDepth-vitl,100,sf_shift_ro,14.02,536.55,38.8
illusion,InfiniDepth-vitl,500,calib,42.01,536.55,61.53
illusion,InfiniDepth-vitl,500,calib_ro,22.21,536.55,37.73
illusion,InfiniDepth-vitl,500,calib_shift,61.59,536.55,64.41
illusion,InfiniDepth-vitl,500,calib_shift_ro,36.65,536.55,46.47
illusion,InfiniDepth-vitl,500,sf,37.88,536.55,60.97
illusion,InfiniDepth-vitl,500,sf_ro,25.79,536.55,51.1
illusion,InfiniDepth-vitl,500,sf_shift,30.99,536.55,50.59
illusion,InfiniDepth-vitl,500,sf_shift_ro,16.61,536.55,43.08
illusion,InfiniDepth-vitl,1000,calib,43.0,536.55,62.82
illusion,InfiniDepth-vitl,1000,calib_ro,21.95,536.55,37.83
illusion,InfiniDepth-vitl,1000,calib_shift,62.88,536.55,65.01
illusion,InfiniDepth-vitl,1000,calib_shift_ro,36.74,536.55,46.56
illusion,InfiniDepth-vitl,1000,sf,38.19,536.55,61.9
illusion,InfiniDepth-vitl,1000,sf_ro,25.78,536.55,51.36
illusion,InfiniDepth-vitl,1000,sf_shift,33.45,536.55,53.47
illusion,InfiniDepth-vitl,1000,sf_shift_ro,17.29,536.55,44.26
illusion,MapAnything-map-anything,10,calib,53.15,333.79,60.88
illusion,MapAnything-map-anything,10,calib_ro,46.53,333.79,47.44
illusion,MapAnything-map-anything,10,calib_shift,56.06,333.79,58.87
illusion,MapAnything-map-anything,10,calib_shift_ro,50.21,333.79,51.01
illusion,MapAnything-map-anything,10,mdecalib,27.16,333.79,51.08
illusion,MapAnything-map-anything,10,mdecalib_ro,24.55,333.79,45.28
illusion,MapAnything-map-anything,10,mdecalib_shift,27.47,333.79,49.8
illusion,MapAnything-map-anything,10,mdecalib_shift_ro,26.71,333.79,48.65
illusion,MapAnything-map-anything,10,sf,48.49,333.79,58.87
illusion,MapAnything-map-anything,10,sf_ro,43.38,333.79,56.42
illusion,MapAnything-map-anything,10,sf_shift,13.99,333.79,23.51
illusion,MapAnything-map-anything,10,sf_shift_ro,16.92,333.79,26.63
illusion,MapAnything-map-anything,100,calib,58.47,333.79,65.79
illusion,MapAnything-map-anything,100,calib_ro,48.04,333.79,48.71
illusion,MapAnything-map-anything,100,calib_shift,63.25,333.79,65.51
illusion,MapAnything-map-anything,100,calib_shift_ro,53.17,333.79,53.56
illusion,MapAnything-map-anything,100,mdecalib,30.27,333.79,56.39
illusion,MapAnything-map-anything,100,mdecalib_ro,25.21,333.79,46.63
illusion,MapAnything-map-anything,100,mdecalib_shift,31.58,333.79,56.62
illusion,MapAnything-map-anything,100,mdecalib_shift_ro,28.33,333.79,51.37
illusion,MapAnything-map-anything,100,sf,54.56,333.79,65.66
illusion,MapAnything-map-anything,100,sf_ro,45.99,333.79,58.96
illusion,MapAnything-map-anything,100,sf_shift,29.3,333.79,45.06
illusion,MapAnything-map-anything,100,sf_shift_ro,25.93,333.79,43.48
illusion,MapAnything-map-anything,500,calib,60.19,333.79,67.16
illusion,MapAnything-map-anything,500,calib_ro,48.51,333.79,48.77
illusion,MapAnything-map-anything,500,calib_shift,66.13,333.79,67.17
illusion,MapAnything-map-anything,500,calib_shift_ro,53.97,333.79,53.76
illusion,MapAnything-map-anything,500,mdecalib,31.58,333.79,58.4
illusion,MapAnything-map-anything,500,mdecalib_ro,25.43,333.79,46.63
illusion,MapAnything-map-anything,500,mdecalib_shift,33.29,333.79,58.65
illusion,MapAnything-map-anything,500,mdecalib_shift_ro,28.45,333.79,51.56
illusion,MapAnything-map-anything,500,sf,56.63,333.79,67.44
illusion,MapAnything-map-anything,500,sf_ro,46.28,333.79,59.33
illusion,MapAnything-map-anything,500,sf_shift,37.88,333.79,54.3
illusion,MapAnything-map-anything,500,sf_shift_ro,29.27,333.79,48.13
illusion,MapAnything-map-anything,1000,calib,60.77,333.79,67.66
illusion,MapAnything-map-anything,1000,calib_ro,48.64,333.79,48.76
